Sezione,Ubicazione,Voti
125,LAMBRUSCHINI VIA P.VILLARI,22.0
126,"C.CATTANEO VIA C.CATTANEO,5",13.0
127,"C.CATTANEO VIA C.CATTANEO,5",13.0
128,"C.CATTANEO VIA C.CATTANEO,5",36.0
129,"C.CATTANEO VIA C.CATTANEO,5",6.0
130,"C.CATTANEO VIA C.CATTANEO,5",10.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",20.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",19.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",33.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",24.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",30.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",23.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",39.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",17.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",32.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",20.0
141,"ELEM.MONT.VIA DI MONTENERO,408",23.0
142,"ELEM.MONT.VIA DI MONTENERO,408",24.0
143,"'C.BARTOLENA' VIA MICHEL,8",24.0
144,"'C.BARTOLENA' VIA MICHEL,8",28.0
145,"CASTELLAC.VIA QUERCIANELLA,126",14.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",15.0
147,"A.GRAMSCI VIA CAMPANIA, 39",10.0
148,"A.GRAMSCI VIA CAMPANIA, 39",13.0
149,"A.GRAMSCI VIA CAMPANIA, 39",7.0
150,"A.GRAMSCI VIA CAMPANIA, 39",7.0
151,"A.GRAMSCI VIA CAMPANIA, 39",7.0
152,"A.GRAMSCI VIA CAMPANIA, 39",12.0
153,"A.GRAMSCI VIA CAMPANIA, 39",23.0
154,"A.GRAMSCI VIA CAMPANIA, 39",14.0
155,"P.THOUAR VIA D.NICCODEMI,1",7.0
156,"P.THOUAR VIA D.NICCODEMI,1",14.0
